sub,ios_diff_stranger,SU,RS,RS_square,iosxSU,iosxRS,iosxRS_square,SUxRS,SUxRS_sq,tsnr,fd_mean
1001,4.0,0.47968583130929293,-0.6222222222222222,-7.93679012345679,1.9187433252371717,-2.488888888888889,-31.74716049382716,-0.6372641418080307,2.9603264110045666,-0.568018007,-0.3440763644
1006,3.0,-1.1318448082999686,-0.6222222222222222,-7.93679012345679,-3.395534424899906,-1.8666666666666667,-23.81037037037037,0.36546603394884253,2.336405412755846,1.0281578851,-0.8736512375
1009,4.0,-1.1318448082999686,0.37777777777777777,-8.181234567901233,-4.527379233199874,1.511111111111111,-32.724938271604934,-0.7663787743511261,2.61307858811806,1.3704943566,-0.3013860747
1012,3.0,-1.416232568214286,-4.622222222222222,13.040987654320984,-4.248697704642858,-13.866666666666665,39.12296296296295,6.2073486907526725,-27.483110390461775,1.8486627815,-0.5037591919
1013,3.0,-0.784259768467889,4.377777777777778,10.840987654320992,-2.352779305403667,13.133333333333335,32.52296296296298,-3.772107944286118,-12.255679043917308,1.6416518952,-1.2265464962
1021,1.0,-0.5630692884713338,-1.6222222222222222,-5.692345679012346,-0.5630692884713338,-1.6222222222222222,-5.692345679012346,0.5746305545268036,1.2928350875427295,-0.0937066769,0.3823413274
1242,2.0,1.4276450309288884,2.3777777777777778,-2.6701234567901206,2.855290061857777,4.7555555555555555,-5.340246913580241,3.0558296712153314,10.84626925908277,-0.7938753648,-1.0654288283
1243,2.0,-0.5630692884713338,-2.6222222222222222,-1.4479012345679028,-1.1261385769426675,-5.2444444444444445,-2.8958024691358055,1.137699842998137,-1.0970812257467086,-0.4070829012,2.6261522437
1244,-2.0,1.3559572627123433,4.377777777777778,10.840987654320992,-2.7119145254246866,-8.755555555555556,-21.681975308641984,5.597286614436232,28.761448246489437,0.037604852,0.8446099517
1248,4.0,-1.416232568214286,2.3777777777777778,-2.6701234567901206,-5.664930272857144,9.511111111111111,-10.680493827160483,-3.706279286747329,-5.232523152072891,1.0330291499,-0.7588216159
1249,6.0,-0.09418398155548953,1.3777777777777778,-6.425679012345677,-0.5651038893329372,8.266666666666666,-38.554074074074066,-0.46855755469203403,2.5958242298461536,-1.7649533528,2.1470297656
1276,0.0,-1.416232568214286,-2.6222222222222222,-1.4479012345679028,-0.0,-0.0,-0.0,3.374883554324101,-6.963474068779235,0.2551260338,-0.3140793203
1282,2.0,0.5027939829693907,4.377777777777778,10.840987654320992,1.0055879659387814,8.755555555555556,21.681975308641984,1.862327367561529,12.41062665461573,1.4051257624,-1.22834607
1286,3.0,-0.8474570483856513,-0.6222222222222222,-7.93679012345679,-2.5423711451569537,-1.8666666666666667,-23.81037037037037,0.1885136500021562,2.446509118322673,-1.0467366103,-0.5419380474
1294,3.0,-1.1318448082999686,-2.6222222222222222,-1.4479012345679028,-3.395534424899906,-7.866666666666667,-4.343703703703708,2.6291556505487796,-5.008009787768393,-0.7395348904,-0.5271843607
1302,2.0,0.9152744004927441,4.377777777777778,10.840987654320992,1.8305488009854882,8.755555555555556,21.681975308641984,3.668074973163766,20.315788394696632,0.3852046778,-0.5119265952
3116,-1.0,-0.8474570483856513,1.3777777777777778,-6.425679012345677,0.8474570483856513,-1.3777777777777778,6.425679012345677,-1.506400446769146,1.1659073563176876,-0.9339691357,1.355004999
3125,2.0,-0.09418398155548953,4.377777777777778,10.840987654320992,-0.18836796311097906,8.755555555555556,21.681975308641984,-0.7511094993585024,0.9695808149880356,-1.1826199423,1.9653606007
3140,6.0,0.16369943143609428,-1.6222222222222222,-5.692345679012346,0.9821965886165657,-9.733333333333334,-34.154074074074074,-0.6043498133230238,3.205403239832449,0.9132142364,-0.1142013903
3152,4.0,0.005706231357301153,4.377777777777778,10.840987654320992,0.022824925429204612,17.511111111111113,43.36395061728397,-0.31381234505139644,2.883970579399144,-1.492785688,2.1458215169
3167,1.0,-1.1318448082999686,-2.6222222222222222,-1.4479012345679028,-1.1318448082999686,-2.6222222222222222,-1.4479012345679028,2.6291556505487796,-5.008009787768393,0.6912136986,0.6933339599
3170,5.0,-1.416232568214286,-4.622222222222222,13.040987654320984,-7.08116284107143,-23.111111111111107,65.20493827160492,6.2073486907526725,-27.483110390461775,1.1781299563,-1.1772625922
3173,2.0,-1.1318448082999686,3.3777777777777778,3.085432098765436,-2.263689616599937,6.7555555555555555,6.170864197530872,-4.161913199251032,-10.139039585394922,0.1149848681,-1.0840054284
3189,-1.0,-0.037779091991074085,-0.6222222222222222,-7.93679012345679,0.037779091991074085,0.6222222222222222,7.93679012345679,-0.3152859673100248,2.759984435761363,0.7132117916,-0.7433955186
3190,3.0,-0.6629595013841244,3.3777777777777778,3.085432098765436,-1.9888785041523733,10.133333333333333,9.256296296296307,-2.5781228292241796,-4.789347668859778,-0.2609318634,-0.1462293521
3200,4.0,-1.416232568214286,-3.6222222222222222,4.796543209876541,-5.664930272857144,-14.488888888888889,19.186172839506163,4.791116122538386,-15.807059661406218,0.6066287855,-0.3903697345
3206,3.0,1.696749912191076,-1.6222222222222222,-5.692345679012346,5.090249736573228,-4.866666666666667,-17.077037037037037,-3.0912983709922157,7.2397864556069145,-0.3030392186,-0.2789814206
3220,0.0,0.005706231357301153,1.3777777777777778,-6.425679012345677,0.0,0.0,-0.0,-0.3309310391233002,2.7854429846297424,0.3920509511,0.2206378157
